Session, Time, Virtual Bytes, Private Bytes, # Bytes in all Heaps, Handle Count, Thread Count
0,,0,0,0,0,0
1,2018-11-12T21:35:36.437,1483829000,537210900,112062700,4807,249
2,2018-11-12T21:36:34.200,1489420000,540471300,113821400,4905,246
3,2018-11-12T21:37:38.361,1496908000,557318100,114627800,4935,240
4,2018-11-12T21:38:26.924,1534562000,578138100,116255900,5025,243
5,2018-11-12T21:39:09.248,1511870000,534614000,112921500,4762,240
6,2018-11-12T21:40:00.837,1525195000,547024900,113073100,4868,248
7,2018-11-12T21:41:02.675,1519833000,546193400,113798100,4793,241
8,2018-11-12T21:42:03.063,1519084000,532054000,115701500,4881,243
9,2018-11-12T21:42:49.066,1523884000,549507100,116540400,4910,243
10,2018-11-12T21:43:38.087,1518207000,536981500,112635200,4772,243
11,2018-11-12T21:44:29.488,1518014000,542425100,113564000,4819,243
12,2018-11-12T21:45:16.475,1521525000,537813000,115117200,4869,245
13,2018-11-12T21:46:19.293,1517568000,537403400,115784900,4902,242
14,2018-11-12T21:47:17.487,1520423000,550293500,117225500,4963,243
15,2018-11-12T21:48:13.269,1516257000,537514000,113437700,4772,244
16,2018-11-12T21:49:03.956,1516782000,539689000,113998900,4807,243
17,2018-11-12T21:50:14.169,1516491000,541040600,114653400,4846,242
18,2018-11-12T21:51:04.300,1521512000,547078100,116235700,4923,242
19,2018-11-12T21:51:52.047,1516757000,545607700,117879400,4956,242
20,2018-11-12T21:52:54.955,1515799000,542666800,119363100,4777,243
21,2018-11-12T21:53:44.171,1519428000,543453200,119547100,4842,246
22,2018-11-12T21:54:39.209,1517674000,553369600,119660800,4829,241
23,2018-11-12T21:55:24.216,1518510000,552075300,119679300,4866,244
24,2018-11-12T21:56:14.044,1521209000,540053500,114169900,4800,245
25,2018-11-12T21:57:01.369,1519600000,549335000,114470000,4797,244
26,2018-11-12T21:57:51.021,1519034000,541278200,115356100,4837,243
27,2018-11-12T21:58:44.281,1531081000,561680400,115692800,4929,246
28,2018-11-12T21:59:32.768,1523007000,554717200,117292600,4928,245
29,2018-11-12T22:00:19.930,1522221000,545194000,113447300,4799,244
30,2018-11-12T22:01:16.502,1521734000,549408800,113397900,4850,242
31,2018-11-12T22:02:05.783,1521332000,550502400,114678400,4942,243
32,2018-11-12T22:03:01.173,1519464000,554061800,116196600,4939,241
33,2018-11-12T22:03:45.936,1529770000,564523000,118220700,5000,245
34,2018-11-12T22:04:23.388,1526673000,553500700,113886200,4741,246
35,2018-11-12T22:05:09.707,1522483000,548479000,113885100,4798,243
36,2018-11-12T22:05:55.341,1525735000,558972900,115241700,4848,242
37,2018-11-12T22:06:42.024,1526784000,559943700,117081700,4907,245
38,2018-11-12T22:07:29.607,1527611000,567754800,118465000,4923,242
39,2018-11-12T22:08:19.755,1526747000,552357900,114209600,4771,244
40,2018-11-12T22:09:24.298,1524138000,553721900,114427500,4829,238
41,2018-11-12T22:10:16.555,1528291000,567554000,115444700,4882,241
42,2018-11-12T22:11:11.351,1524576000,559910900,116874700,4906,243
43,2018-11-12T22:11:59.614,1527853000,559788000,118677700,4992,246
44,2018-11-12T22:12:47.371,1524408000,557604900,114328600,4722,242
45,2018-11-12T22:13:35.452,1544409000,556781600,113154600,4807,243
46,2018-11-12T22:14:21.216,1551921000,569577500,114283400,4861,245
47,2018-11-12T22:15:19.015,1545720000,567570400,116000600,4955,244
48,2018-11-12T22:16:32.657,1550221000,573546500,117643600,4956,243
49,2018-11-12T22:17:19.813,1546641000,559308800,113542600,4814,245
50,2018-11-12T22:18:05.048,1545290000,559652900,114263000,4837,243
51,2018-11-12T22:26:52.476,1547887000,575500300,114917700,4873,240
52,2018-11-12T22:27:39.435,1555083000,577490900,116428500,4952,244
53,2018-11-12T22:28:28.993,1548345000,565936100,113862700,4802,243
54,2018-11-12T22:29:16.220,1546953000,560341000,114826900,4820,243
55,2018-11-12T22:30:10.329,1549984000,570544100,115253100,4852,240
56,2018-11-12T22:31:03.017,1551647000,580657200,116797000,4897,242
57,2018-11-12T22:31:52.610,1552261000,573845500,114202300,4712,243
58,2018-11-12T22:32:49.252,1551094000,563736600,113174400,4835,243
59,2018-11-12T22:33:40.321,1551360000,574758900,114160300,4819,243
60,2018-11-12T22:34:29.150,1551020000,574640100,115843700,4885,244
61,2018-11-12T22:36:41.366,1553261000,575176700,117518400,4953,244
62,2018-11-12T22:37:39.129,1550070000,567803900,113409200,4759,241
63,2018-11-12T22:38:40.111,1558540000,579141600,113603300,4803,243
64,2018-11-12T22:39:38.359,1554047000,568954900,115466100,4816,244
65,2018-11-12T22:40:31.727,1553220000,568565800,116168600,4907,243
66,2018-11-12T22:41:17.674,1549328000,572837900,118028300,4940,240
67,2018-11-12T22:42:16.857,1553261000,568258600,113356600,4764,243
68,2018-11-12T22:43:21.815,1550336000,571760600,113711700,4814,240
69,2018-11-12T22:44:09.055,1554031000,577445900,115014800,4852,239
70,2018-11-12T22:45:01.093,1560240000,589344800,115791900,4849,244
71,2018-11-12T22:45:53.297,1557619000,585830400,117986600,4943,241
72,2018-11-12T22:46:42.166,1553408000,569458700,113299300,4775,242
73,2018-11-12T22:47:40.325,1556644000,578338800,113472800,4799,241
74,2018-11-12T22:48:28.918,1556062000,575180800,114710500,4839,242
75,2018-11-12T22:49:16.766,1554924000,578814000,116141000,4812,238
76,2018-11-12T22:50:04.754,1558434000,574951400,113170600,4761,241
77,2018-11-12T22:50:52.955,1559708000,579661800,113337700,4786,243
78,2018-11-12T22:51:43.032,1558991000,576782300,114374100,4835,242
79,2018-11-12T22:52:33.777,1568207000,577089500,116122800,4892,245
80,2018-11-12T22:53:21.459,1572745000,585035800,117441000,4906,239
81,2018-11-12T22:54:06.272,1560576000,585265200,119896200,4924,239
82,2018-11-12T22:54:56.290,1562006000,578969600,113300600,4723,241
83,2018-11-12T22:55:47.721,1565598000,580739100,113259600,4766,240
84,2018-11-12T22:56:34.932,1562935000,578261000,114471400,4806,241
85,2018-11-12T22:57:22.369,1562149000,585834500,116181800,4834,240
86,2018-11-12T22:58:11.257,1566302000,582004700,117775500,4883,244
87,2018-11-12T22:58:57.022,1570710000,595144700,113317000,4810,242
88,2018-11-12T22:59:42.234,1566474000,579162100,113486600,4810,244
89,2018-11-12T23:00:41.944,1562763000,579252200,114790300,4820,241
90,2018-11-12T23:01:43.384,1564426000,586047500,116142700,4833,242
91,2018-11-12T23:02:32.882,1563509000,581910500,113536000,4717,241
92,2018-11-12T23:03:43.234,1565413000,584532000,113708000,4720,243
93,2018-11-12T23:04:37.483,1565073000,580575200,114375400,4806,241
94,2018-11-12T23:05:30.007,1571127000,595091500,116044500,4850,241
95,2018-11-12T23:06:18.368,1569157000,586371100,117674000,4817,242
96,2018-11-12T23:07:07.669,1568334000,582942700,113653100,4800,242
97,2018-11-12T23:08:12.084,1568113000,582107100,113762400,4813,242
98,2018-11-12T23:09:06.771,1570238000,586592300,114563600,4881,243
99,2018-11-12T23:09:56.069,1565934000,586362900,116259500,4862,240
100,2018-11-12T23:10:48.739,1573880000,595824600,118093900,4911,242
101,2018-11-12T23:11:36.302,1574953000,581533700,114238300,4774,247
102,2018-11-12T23:12:27.279,1573188000,593068000,114222300,4791,245
103,2018-11-12T23:13:14.898,1568227000,583770100,115456000,4833,241
104,2018-11-12T23:14:01.191,1571058000,585773100,117307600,4910,242
105,2018-11-12T23:14:50.959,1569313000,592171000,118094900,4897,241
106,2018-11-12T23:15:43.828,1569968000,585318400,114053300,4757,241
