Time, Virtual Bytes, Private Bytes, # Bytes in all Heaps, Handle Count, Thread Count
2018-08-06T09:20:02.646,892215300,205832200,195881200,2721,113
2018-08-06T11:41:29.906,1159283000,364650500,184052800,3197,127
2018-08-06T11:59:00.328,1178423000,402341900,216179600,3313,128
2018-08-06T12:01:58.182,1154212000,345759700,242091300,3097,128
2018-08-06T12:04:25.585,1162428000,373108700,234515700,3160,127
2018-08-06T12:06:04.859,1176433000,387272700,245866000,3279,134
2018-08-06T12:07:44.214,1149735000,341319700,257061200,3128,129
2018-08-06T12:10:11.331,1151549000,355090400,280121100,3158,127
2018-08-06T12:12:15.089,1158345000,370475000,280232400,3253,129
2018-08-06T12:15:55.740,1159565000,366592000,289530600,3138,128
2018-08-07T05:59:31.771,881795100,206745600,199718500,2724,105
2018-08-07T06:02:36.422,1094361000,310599700,245801900,3027,129
2018-08-07T06:05:03.675,1143316000,350093300,266626400,3123,130
2018-08-07T06:08:19.192,1126081000,331493400,238093700,3048,129
2018-08-07T06:11:18.241,1171890000,365056000,254947100,3168,133
2018-08-07T06:13:21.651,1178620000,381538300,266300200,3268,130
2018-08-07T06:18:37.146,1172095000,357605400,223186100,3111,128
